element,name,z_valence,ecut_eff,ecut_prec,eos_score,score,SC,BCC,FCC,DC,XO,XO2,XO3,X2O,X2O3,X2O5,ZA
Cl,PSL-US-v1-low,7,60,60,0.0,0.3,0.05,0.05,0.06,0.06,0.01,0.02,0.07,0.04,0.01,0.13,17
Cl,SG15,7,40,45,0.6639411053395577,0.7639411053395577,0.77,0.73,0.74,0.74,0.62,1.13,2.72,0.58,1.03,0.53,17
Cl,DOJO-041-str,7,,,0.008289854505948886,,0.1,0.13,0.13,0.11,0.03,0.02,0.01,0.08,0.01,0.14,17
Cl,PSL-US-v0.x,7,,,0.12511744401839,,0.33,0.31,0.31,0.37,0.15,0.16,0.18,0.22,0.13,0.22,17
Cl,GBRV-1.X,7,,,0.01308399448970555,,0.11,0.13,0.14,0.11,0.04,0.05,0.13,0.09,0.06,0.16,17
Ar,PSL-PAW-v1-low,8,70,100,0.011368923767677777,0.4113689237676778,0.02,0.05,0.02,0.07,0.03,0.13,0.21,0.17,0.11,0.04,18
Ar,SPMS,8,45,45,0.30558113197321995,0.4555811319732199,0.75,0.99,0.86,0.64,0.15,0.08,0.35,0.6,0.06,0.06,18
Ar,PSL-US-v1-low,8,70,100,0.07835272014117779,0.4783527201411778,0.3,0.3,0.23,0.2,0.06,0.11,0.17,0.29,0.09,0.05,18
Ar,PSL-US-v0.x,8,75,75,0.039167423975703324,0.48916742397570334,0.12,0.13,0.06,0.08,0.09,0.24,0.5,0.16,0.21,0.03,18
Ar,DOJO-041-std,8,60,65,0.29295265446237895,0.5929526544623789,0.78,1.01,0.88,0.66,0.2,0.05,0.04,0.63,0.06,0.1,18
Ar,PSL-PAW-v1-high,8,100,100,0.010663841412717777,0.7106638414127179,0.02,0.04,0.03,0.05,0.03,0.14,0.32,0.15,0.11,0.03,18
Ar,PSL-US-v1-high,8,100,100,0.04867613700105334,0.7486761370010534,0.22,0.22,0.15,0.15,0.05,0.11,0.19,0.24,0.09,0.03,18
Ar,JTH-1.1-std,8,45,65,0.684401830115283,0.834401830115283,0.21,0.17,0.22,0.19,1.5,1.96,4.91,0.32,1.84,0.66,18
Ar,PSL-PAW-v0.x,8,,,0.03550064740163333,,0.01,0.02,0.05,0.02,0.11,0.27,0.61,0.1,0.24,0.04,18
K,SG15,9,30,30,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.14,0.05,0.04,0.0,19
K,SPMS,9,30,30,0.0,0.0,0.03,0.04,0.04,0.04,0.01,0.02,0.18,0.02,0.03,0.01,19
K,PSL-PAW-v1-high,9,55,55,0.0,0.25,0.01,0.0,0.0,0.02,0.04,0.05,0.03,0.04,0.06,0.09,19
K,PSL-US-v1-high,9,55,55,0.0,0.25,0.04,0.06,0.05,0.02,0.01,0.02,0.01,0.01,0.04,0.08,19
